x,lALSOA,ASD,False,ASD,0,,-7667712,-16776961,09-01-2020,,92,54,16,58
x,lALSOA,as,False,SD,0,,-7667712,-32768,09-01-2020,,292,133,315,190
x,lALSOA,A,False,azx,0,Arial Black,-7667712,-16776961,09-01-2020,,90,31,-2,113
x,lALSOA,zsx,False,was,0,,-7667712,-16776961,09-01-2020,,221,121,324,263
x,lALSOA,x,False,as,0,,-7667712,-16776961,09-01-2020,,542,188,237,152
x,lALSOA,s,False,A,0,,-7667712,-16776961,09-01-2020,,724,49,155,152
x,lALSOA,uh,True,fe,0,Algerian,-7667712,-16776961,09-01-2020,,73,84,155,152
x,>azx,zx,False,aaa,0,,-7667712,-16776961,09-01-2020,,407,144,157,175
x,>azx,xz,False,aaaaaaa,0,,-7667712,-16711936,09-01-2020,,532,36,246,178
x,>azx,Zxx,False,z<x,0,,-7667712,-16776961,09-01-2020,,65,-20,248,197
x,AQSD,lj,False,l,0,,-7667712,-16776961,09-01-2020,,237,97,284,133
x,AQSD,nombre,True,categoria,0,,-7667712,-16776961,09-01-2020,,167,185,155,152
x,AS,Laloa,True,asd,0,,-7667712,-16776961,09-01-2020,,34,17,155,152
x,AS,asdf,False,ASD,0,,-7667712,-16711936,09-01-2020,,158,101,167,104
x,hola,xx,True,qaws,0,Algerian,-7667712,-16776961,,,25,41,177,161
x,hola,asd,False,zxc,0,Arial Rounded MT Bold,-7667712,-16776961,08-01-2020,,196,53,145,214
x,hola,zxcv,False,Numeros,0,Bahnschrift,-16711936,-8388544,08-01-2020,,418,26,132,179
x,hola,as,False,S,0,Brush Script MT,-7667712,-32768,08-01-2020,,260,103,155,152
Gerardo,wer,<zsx,False,asdf,0,Arial Rounded MT Bold,-7667712,-16776961,09-01-2020,,43,28,154,172
x,wer,asdas,False,as,0,,-7667712,-16776961,09-01-2020,,630,163,155,152
x,wer,sa,False,sa,0,,-7667712,-16776961,09-01-2020,,396,172,155,152
x,wer,dea,False,as,0,Algerian,-7667712,-16776961,09-01-2020,,306,129,155,152
